time,smile,disgust,joy,msmile,mdisgust,mjoy,pitch,yaw,roll
145.499418,42.01,0.04,2.13,49.44,0.01,4.38,-15.32,1.49,-1.57
145.7348859,27.7,0.13,0.2,87.35,0,99.28,-15.63,2.77,-1.59
145.9682031,20.31,0.19,0.08,8.73,0.23,0.01,-17.73,2.56,-0.9
146.201005,7.6,0.87,0.02,1.66,0.38,0,-16.31,2.17,-0.26
146.434586,4.15,3.11,0.01,15.26,0.14,0.03,-14.16,1.43,-1.51
146.6670399,4.35,17.42,0.01,0,0,0,-12.14,3.58,-1.13
146.904489,7.98,3.2,0.02,77.4,0,88.6,-13.43,0.65,-1.38
147.1319299,24.31,0.15,0.1,0,0,0,-16.31,-4.99,-0.79
147.3749318,72.57,0.01,82.09,93.3,0,99.66,-18.21,-2.32,2.39
147.601362,95.4,0,99.78,100,0,99.93,-12.53,-3.48,4.83
147.8345051,99.55,0.01,99.92,99.99,0,99.93,-17.34,3.13,2.41
148.06725,99.95,0.01,99.93,100,0,99.93,-18.39,3.96,0.96
148.300529,99.98,0.01,99.93,100,0,99.93,-14.75,5.94,2.94
148.5322239,99.99,0.01,99.93,100,0,99.93,-10.87,3.86,2.34
148.76756,100,0.01,99.93,99.96,0,99.93,-11.42,8.24,0.93
148.9984088,99.99,0.02,99.93,78.12,0,96.32,-4.74,-11.72,-12.04
149.2344561,99.99,0.02,99.93,0,0,0,-16.74,3.51,11.05
149.467814,100,0.03,99.93,77.02,0,95.5,-19.53,2.53,11.47
149.7023559,100,0.03,99.93,0,0,0,-16.17,2.11,13.22
149.9382191,99.99,0.02,99.93,99.96,0,99.93,-14.43,0.76,6.28
150.168262,99.99,0.01,99.93,99.98,0,99.93,-17.27,0.13,5.7
0.146772146,0.99,1.66,0,0.22,2.87,0,3.24,3.13,-4.63
0.35077405,1.29,2.02,0,0.06,14.74,0,3.71,0.61,-3.8
0.550986052,2.43,1.71,0.01,0.33,0.57,0,5.62,0.32,-4.25
