smile,disgust,joy,msmile,mdisgust,mjoy,pitch,yaw,roll
97.77,0,99.9,99.98,0.01,99.93,-14.94,2.2,-6.35
98.31,0,99.91,99.97,0.01,99.93,-15.41,1.19,-6.21
98.57,0,99.91,99.88,0,99.93,-13.99,2.44,-7.38
98.09,0,99.91,99.59,0,99.93,-15.29,2.8,-7.94
96.47,0,99.88,99.66,0,99.93,-15.26,3.41,-7.06
94.85,0.01,99.84,89,0,99.49,-15.02,3.59,-7.51
94.12,0,99.82,97.57,0,99.89,-14.57,3,-6.71
82.24,0,98.69,97.32,0,99.89,-14.76,0.64,-6.63
60.42,0,68.41,88.07,0,99.38,-15.41,-0.28,-5.2
35.51,0,3.55,80.86,0,97.76,-15.67,0.88,-4.9
16.57,0.01,0.16,99.21,0,99.92,-14.01,1.32,-6.99
8.18,0.02,0.03,91.86,0,99.69,-14.53,1.56,-6.87
4.55,0.01,0.01,95.24,0,99.83,-13.32,1.37,-6.17
5.25,0.01,0.01,98.48,0,99.91,-14.18,-1,-5.38
7.51,0.05,0.04,98.76,0.01,99.91,-14.39,-1.79,-5.99
13.5,0.05,0.1,75.34,0,93.02,-14.87,1.68,-5.75
28.52,0.06,1.18,72.99,0,88.42,-14.36,1.28,-7.61
46.5,0.01,18.47,88.91,0,99.48,-10.03,2.34,-11.33
37.64,0.01,4.28,65.72,0,73.88,-6.85,0.51,-13.83
14.27,0,0.02,72.5,0,90.66,-8.41,-0.52,-14.36
4.23,0,0,22.59,0.08,0.11,-6.82,-1.74,-12.63
0.68,0.01,0,66.74,0,77.28,-10.55,0.41,-9.83
0.1,0.18,0,79.84,0,97.36,-10.8,1.62,-9.86
0.03,0.36,0,22.29,0.09,0.11,-11.49,1.22,-10.02
0.01,0.36,0,57.07,0.01,37,-11.35,0.12,-9.24
0.01,0.3,0,90.88,0,99.64,-11,0.53,-9.75
0.04,0.19,0,98.93,0,99.92,-11.99,-0.01,-9.53
0.11,0.12,0,97.56,0,99.89,-10.73,-0.77,-10.49
0.67,0.07,0,98.46,0,99.91,-11.76,-0.95,-7.65
5.95,0.01,0,99.9,0,99.93,-12.63,-0.03,-7.95
16.43,0.01,0.03,98.24,0,99.9,-11.86,-0.75,-8.24
23.35,0,0.08,99.72,0,99.93,-11.72,-0.39,-8.15
30.61,0,0.27,99.58,0,99.93,-12.01,-0.71,-8.52
25.67,0,0.12,99.09,0,99.92,-11.82,-1.59,-8.87
15.89,0.01,0.02,99.45,0,99.92,-12.32,-1.47,-9.57
13.4,0.02,0.02,99.51,0,99.92,-11.78,-2.08,-8
14.39,0.01,0.02,98.62,0,99.91,-12.01,-1.84,-8.42
18.82,0.01,0.04,96.06,0,99.86,-12.53,-2.67,-9
21.7,0.01,0.06,97.36,0,99.89,-12.64,-2.05,-8.14
25.12,0,0.11,97.67,0,99.89,-12.68,-1.27,-8.44
26.96,0,0.15,99.31,0,99.92,-12.3,-1.98,-8.19
29.55,0,0.23,98.28,0,99.91,-12.54,-0.98,-8.22
